"claim_id","manuscript_claim","authoritative_evidence","verified_value","universe_or_denominator","status","reviewer_boundary"
"PUB-C16","Archived-hit robustness counts","methylation_analysis/results/replicate_robustness_archived_hits.csv; methylation_analysis/results/replicate_robustness_summary.csv","97 leave-one-stage-out sign-stable; 68 bootstrap intervals exclude zero; 57 unadjusted stage-randomisation p<0.05","131 archived hits; targeted union separately contains 134 rows","verified after denominator repair","The previous summary mixed the 134-row union with prose about 131 archived hits; generator and copies now expose both denominators."
"PUB-C17","Gnao1 quantitative interpretation","methylation_analysis/results/replicate_robustness_all.csv","relative-use r=+/-0.985760; global parametric q=0.0382298; randomisation q=0.272470; B absolute r=0.007645; A absolute r=-0.908103; gene total r=-0.911160","eight forebrain stage means","verified after causal-language repair","Reciprocal fractions are one compositional degree of information; archive supports a bulk A:B change, not repression of B or methylation-driven exon choice."
"PUB-C18","Taok3 quantitative interpretation","methylation_analysis/results/replicate_robustness_all.csv","weighted r=0.983831; global parametric q=0.0382298; randomisation q=0.181647; unweighted r=0.879390; WGBS reliability r=0.342942; absolute transcript r=-0.016823","eight forebrain stage means; approximately 159-kb gene-body interval","verified","Transcript variants encode the same protein; result is an unlocalised, weighting-sensitive transcript-start hypothesis."
"PUB-C19","Figure structure and provenance","manuscript.tex; submission_main.aux; supplementary_figures.aux; figure_provenance.csv","9 main and 14 supplementary figure environments; 24 displayed graphical assets; a generated framework overview and former thesis S16, S11, S10 and S9-upper are in the main sequence; eight redundant or nonessential audit assets are not displayed; every supplementary environment contains one graphical asset","9 main and 14 supplementary figure environments","verified against the live 23 August 2026 sources","Final journal upload naming and file-list metadata still require confirmation."
"PUB-C20","Build and cross-reference integrity","manuscript.log; manuscript.pdf; submission_main.log; submission_main.pdf; supplementary_figures.log; supplementary_figures.pdf; bibliography audit","40-page comprehensive PDF, 33-page double-spaced main article and 14-page Additional file; zero logged unresolved citations/references, overfull boxes, duplicate labels or fatal errors","24 August 2026 software-integration rebuild","verified","Continuous line numbering, author metadata, repository DOI, redistribution rights and final journal-template conversion remain external submission gates."
"PUB-C21","E15.5 event-class comparison","dtu_analysis/tables/e155_episode_event_bias.csv; manuscript.tex","1,073 sequence-resolved E15.5 episode isoforms versus 4,277 remaining midbrain DTU isoforms; ES difference 9.1 percentage points (95% gene-bootstrap CI 5.9--12.2), MES 4.7 (2.4--7.2), ATSS 1.2 (-1.8--4.2), ATTS 2.7 (0.4--5.2)","5,000 gene-level bootstrap resamples","verified and added to Results","Event annotations are non-exclusive and the comparison is post hoc."
"PUB-C22","Parametric-hit versus stability terminology","manuscript.tex; methylation_analysis/results/analysis_specification_table.csv","Three rows meet parametric global q < 0.05, but neither locus is stable across weighted/unweighted CpG summaries or meets the mechanistic-interpretation criteria","11,002 fixed tests; three parametric rows at two loci","internal contradiction repaired","Parametric screen hits must not be called specification-stable discoveries."
"PUB-C23","Ordinal temporal-transform boundary","methylation_analysis/replicate_robustness.py; manuscript.tex; methylation_analysis/manuscript.tex","Detrending uses ordinal positions 0--7 and adjacent first differences are not divided by elapsed time; P0 is treated as the next observation after E16.5","eight ordered stage profiles","verified and disclosed","Detrended and differenced results are post hoc diagnostics, not elapsed-time models or independent confirmation."
"PUB-C24","Generative-AI disclosure and additional-file metadata","manuscript.tex; supplementary_figures.tex; BMC Genomics Research Article guidance","Methods disclose OpenAI Codex roles and verification boundary; Additional file 1 is described as Figures S1--S14","one main manuscript and one supplementary PDF","implemented; author confirmation required","Disclosure wording and author responsibility must remain in the submitted version."
"PUB-C25","Focused full-family count-model sensitivity","dtu_analysis/tables/joint_interaction_summary.csv; dtu_analysis/data/joint_interaction_isoforms.csv; dtu_analysis/data/joint_interaction_genes.csv; tables/dtu_joint_interaction_summary.csv","914/12,517 transcripts at empirical FDR < 0.05 and 429/4,577 genes at DEXSeq-style per-gene q < 0.05; 322 selected genes in the primary shared core and 60 in the threshold-defined midbrain-only set; nine nonconvergence warnings; 177 nonfinite transcript tests from 80 nonselected genes","48 samples in 24 region-stage cells; one post hoc E15.5-curvature contrast","verified and integrated into Methods, Results, abstract and limitations","Predominantly non-integer abundance-scaled counts, same samples and post hoc contrast make this cross-model sensitivity, not independent validation."
"PUB-C26","Author-name and order alignment","CITATION.cff; manuscript.tex; dtu_analysis/CITATION.cff; methylation_analysis/CITATION.cff","Confirmed publication names and order are Robin Gounder followed by Russell Hamilton for the DTU and methylation papers","two authors","aligned across the combined manuscript and both live companion packages","Corresponding author, ORCIDs, current affiliations and final contribution approval remain author decisions."
"PUB-C27","General framework and programmatic panel definition","manuscript.tex; dtu_analysis/analysis/run_transient_regional_scan.R; dtu_analysis/tables/transient_regional_top_candidates.csv; dtu_analysis/analysis/create_framework_overview_figure.py","General post-inference decision layer requires ordered flanks, one focal group, at least two comparison groups, stage-specific DTU evidence and biological replication; the six reported genes are the six highest-ranked distinct genes after reciprocal episodes are ordered by weakest component q-value and then maximum usage difference","all eligible replicate-consistent reciprocal episodes in the 12,517-isoform analysis universe","verified and made explicit throughout the manuscript","Generality applies to the design and decision layer; empirical operating characteristics remain application- and DTU-engine-specific."
"PUB-C28","R-package implementation fidelity","transientDTU 0.99.1; transientDTU/inst/scripts/validate-paper-regression.R; transientDTU/inst/validation/PAPER_REGRESSION.md; manuscript.tex","The installed package reconstructed 1,350 pre-filter episodes, reproduced all 1,348 archived replicate-consistent episode identities and numeric fields to tolerance 1e-12, and recovered the exact ordered six-gene panel","four hashed retained paper-output inputs; package version 0.99.1","rerun and verified on 24 August 2026; formally cited in the manuscript","This establishes implementation equivalence to retained outputs, not independent biological validation or episode-level FDR control."
